Mark,WIND,Competitor,Nat,Venue,Date,Speed
10.02222222222222,-0.3,Ramon GITTENS,BAR,"National Stadium, Beijing (CHN)",2015-08-22,35.920177383592026
10.023333333333332,1.5,Warren WEIR,JAM,Kingston (JAM),2013-06-08,35.9161955437313
10.024444444444443,1.4,Andrew RILEY,JAM,"Des Moines, IA (USA)",2012-06-06,35.91221458656618
10.025312499999998,0.0,Andrew HINDS,BAR,Bridgetown (BAR),2009-06-20,35.9091050777719
10.025937499999998,1.6,Rai BENJAMIN,USA,"AP Ranch, Fort Worth, TX (USA)",2020-07-20,35.906866564847434
10.026562499999999,1.0,Aska CAMBRIDGE,JPN,"Prefectural Stadium, Fukui (JPN)",2020-08-29,35.9046283309958
10.027187499999998,1.0,J-Mee SAMUELS,USA,Luzern (SUI),2010-08-08,35.90239037616481
10.027812499999998,1.5,Jarrion LAWSON,USA,"Sacramento, CA (USA)",2017-06-22,35.90015270030229
10.028437499999999,0.7,Marcus ROWLAND,USA,Port-of-Spain (TTO),2009-07-31,35.897915303356086
10.029062499999998,1.2,Demek KEMP,USA,"Columbia, SC (USA)",2019-04-13,35.89567818527405
10.029687499999998,1.7,Lalu Muhammad ZOHRI,INA,"Nagai Stadium, Osaka (JPN)",2019-05-19,35.89344134600406
10.030312499999999,1.7,Lamont Marcell JACOBS,ITA,Padova (ITA),2019-07-16,35.891204785493976
10.030937499999999,-0.3,Hassan TAFTIAN,IRI,"Stade Charl̩ty, Paris (FRA)",2019-08-24,35.888968503691714
10.031562499999998,0.6,Samuel FRANCIS,QAT,Sofia (BUL),2008-06-30,35.886732500545165
10.0321875,1.5,Gerald PHIRI,ZAM,"Clermont, FL (USA)",2014-05-10,35.884496776002244
10.032812499999999,1.6,Jason LIVERMORE,JAM,Kingston (JAM),2016-06-11,35.882261330010905
10.033437499999998,1.6,Simeon WILLIAMSON,GBR,Birmingham (GBR),2008-07-12,35.88002616251909
10.0340625,1.2,Abdullah Abkar MOHAMMED,KSA,"Stade Charl̩ty, Paris (FRA)",2018-06-30,35.87779127347473
10.034687499999999,0.5,Aaron ARMSTRONG,TTO,Port-of-Spain (TTO),2009-06-19,35.87555666282583
10.035714285714285,1.7,Ojie EDOBURUN,GBR,"Stadion Juliska, Praha (CZE)",2018-06-04,35.87188612099645
10.037142857142856,1.5,James ELLINGTON,GBR,"Olympisch Stadion, Amsterdam (NED)",2016-07-07,35.866780529462005
10.038571428571426,1.4,Kolby LISTENBEE,USA,"Eugene, OR (USA)",2015-06-10,35.86167639106305
10.04,1.0,Preston PERRY,USA,"Provo, UT (USA)",2008-05-24,35.85657370517929
10.04142857142857,1.7,D'Angelo CHERRY,USA,"Fayetteville, AR (USA)",2009-06-10,35.85147247119079
10.042857142857141,1.5,Calesio NEWMAN,USA,"Greensboro, NC (USA)",2015-05-17,35.846372688477956
10.044285714285712,0.2,Francis OBIKWELU,POR,"Stadio Olimpico, Roma (ITA)",2008-07-11,35.84127435642157
10.045714285714286,1.2,Rodney ROWE,USA,"Greensboro, NC (USA)",2019-05-04,35.836177474402724
10.047142857142857,1.3,Davon DEMOSS,USA,"Austin, TX (USA)",2019-06-05,35.83108204180293
10.048571428571428,1.6,Markesh WOODSON,USA,"Eugene, OR (USA)",2016-06-08,35.825988058003986
10.05,1.8,Tevin HESTER,USA,"Jacksonville, FL (USA)",2015-05-28,35.82089552238806
10.051428571428572,2.0,Justin WALKER,USA,"Montverde, FL (USA)",2016-06-11,35.81580443433769
