Mark,WIND,Competitor,Nat,Venue,Date,Speed
11.645064102564103,1.1,Lanece CLARKE,BAH,"Athens, GA (USA)",2015-04-11,30.914385427962767
11.645192307692307,1.7,Galina NIKOLOVA,BUL,Lille (FRA),2011-07-06,30.914045082982415
11.645320512820513,1.4,Monae CAREY,JAM,Kingston (JAM),2019-03-29,30.91370474549588
11.645448717948717,1.2,Celene CEVALLOS,ECU,Riobamba (ECU),2011-06-04,30.913364415502922
11.645576923076923,0.1,Latisha HOLDEN,USA,"Tucson, AZ (USA)",2011-05-13,30.913024093003287
11.645705128205128,2.0,Sami SPENNER,USA,Munice (USA),2013-05-10,30.91268377799673
11.645833333333332,-0.7,Xiaoyan XIAO,CHN,Jinan (CHN),2013-05-11,30.91234347048301
11.645961538461538,0.4,Yung-Chieh HSU,TPE,Taipei City (TPE),2013-05-27,30.912003170461862
11.646089743589743,1.7,Ashley TINGELSTAD,USA,"Riverside, CA (USA)",2014-03-29,30.911662877933065
11.646217948717949,1.9,Nia JACK,ISV,"Prairie View, TX (USA)",2019-05-05,30.91132259289634
11.646346153846153,-1.7,Antavia OWENS,USA,"Tallahassee, FL (USA)",2014-03-22,30.910982315351465
11.64647435897436,1.0,Monika BEJNAR,POL,Warszawa (POL),2009-07-25,30.91064204529818
11.646602564102563,0.0,Prischiliana CHOURIO,VEN,Sucre (BOL),2009-11-22,30.910301782736244
11.64673076923077,1.3,Kirstin JONES,USA,"Greensboro, NC (USA)",2019-06-15,30.909961527665406
11.646858974358974,-0.3,Maia REYNOLDS,USA,"San Diego, CA (USA)",2015-03-28,30.90962128008542
11.646987179487178,1.8,Chyna RIES,USA,"Denver, CO (USA)",2013-06-01,30.909281039996046
11.647115384615384,1.3,Mai FUKUDA,JPN,Yokohama (JPN),2018-08-04,30.908940807397016
11.647243589743589,2.0,Tyra ABRAHAM,USA,"San Diego, CA (USA)",2018-03-24,30.9086005822881
11.647371794871795,0.7,Gabby GAYLES,USA,"Palo Alto, CA (USA)",2018-03-30,30.90826036466904
11.647499999999999,0.8,Khamoy FARQUHARSON,JAM,Kingston (JAM),2016-03-18,30.907920154539603
11.647628205128205,0.7,Aino PULKKINEN,FIN,Espoo (FIN),2018-06-13,30.90757995189953
11.64775641025641,0.3,Ebony CARR,GBR,Mannheim (GER),2018-06-23,30.90723975674858
11.647884615384616,0.3,Hayley MILLS,GBR,Loughborough (GBR),2018-07-25,30.906899569086494
11.64801282051282,1.8,Shuri AONO,JPN,Nagoya (JPN),2018-10-20,30.906559388913045
11.648141025641026,0.6,Mia KNIGHT,USA,"Columbus, OH (USA)",2018-06-02,30.906219216227964
11.64826923076923,1.4,Nyoka MAXWELL,CAN,"Clermont, FL (USA)",2018-04-28,30.905879051031025
11.648397435897435,1.2,Fiona CULLEN,AUS,Brisbane (AUS),2008-02-28,30.905538893321967
11.64852564102564,2.0,Olga TERYOKHINA,RUS,Yerino (RUS),2013-06-02,30.905198743100538
11.648653846153845,1.1,Melissa CADDLE,USA,"New York, NY (USA)",2013-06-29,30.904858600366502
11.648782051282051,1.3,Maria RÃ„SÃ„NEN,FIN,JÃ¤msÃ¤ (FIN),2013-06-30,30.904518465119608
11.648910256410256,0.5,Sarah ADAMS,GBR,La Chaux-de-Fonds (SUI),2013-07-07,30.90417833735961
11.649038461538462,0.3,Marzia CARAVELLI,ITA,Orvieto (ITA),2013-07-12,30.903838217086257
11.649166666666666,1.1,Cheria MORGAN,CAN,Weinheim (GER),2013-08-02,30.90349810429931
